Survey Date,Survey Year,Borough,Carriageway,Covered,Secure,Locker,Sheffield Stand,"""M"" stand","""P"" stand",Cyclehoop,Post,Butterfly,Wheel Rack,Bike Hangar,Two Tier,Other,Capacity
16/10/2017,2017,Newham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
12/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
15/08/2017,2017,Lambeth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
15/09/2017,2017,Havering,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
25/09/2017,2017,WalthamForest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
26/09/2017,2017,WalthamForest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
29/09/2017,2017,WalthamForest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
10/10/2017,2017,Barking&Dagenham,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
18/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
19/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
20/10/2017,2017,Redbridge,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
22/10/2017,2017,Redbridge,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24
23/10/2017,2017,Newham,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10
27/10/2017,2017,Barking&Dagenham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
03/11/2017,2017,Bexley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
03/11/2017,2017,Greenwich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
19/12/2017,2017,Croydon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
20/12/2017,2017,Croydon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
12/02/2018,2018,Brent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
04/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6
05/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
07/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
07/06/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
10/06/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
12/06/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
12/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
21/06/2017,2017,Kensington&Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
14/08/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
20/08/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
22/08/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
23/08/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
09/07/2017,2017,Kensington&Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
10/07/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
12/07/2017,2017,Hammersmith&Fulham,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13/07/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
13/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
18/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
18/07/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
20/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
28/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
28/06/2017,2017,Islington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
28/06/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
