UnqID,Location,Borough,Functional cycling area
OUTCY379,Summerhouse Lane,Hillingdon,Outer
OUTCY381,Widewater Lock,Hillingdon,Outer
OUTCY271,Broadwater Lane,Hillingdon,Outer
OUTCY370,Cowley Bridge Lock,Hillingdon,Outer
OUTCY060,Colnbrook by-pass,Hillingdon,Outer
OUTCY180,Harvill Road,Hillingdon,Outer
OUTCY161,Rickmansworth Road,Hillingdon,Outer
OUTCY209,Whitehall Road,Hillingdon,Outer
OUTCY434,Grand Union Canal (Trout Road),Hillingdon,Outer
OUTCY440,Little Benty footbridge,Hillingdon,Outer
OUTCY156,High Street West Drayton,Hillingdon,Outer
OUTCY375,North Way,Hillingdon,Outer
QWPCY167,Grand Union Canal (by Horton Bridge),Hillingdon,Outer
OUTCY273,Woodstock Drive,Hillingdon,Outer
OUTCY446,Stockley Country Park,Hillingdon,Outer
OUTCY086,Long Lane,Hillingdon,Outer
OUTCY116,Swakeleys Road,Hillingdon,Outer
QWPCY168,Grand Union Canal (Waterway business park),Hillingdon,Outer
OUTCY441,Bedfont Road (MVF),Hounslow,Outer
OUTCY041,Dawley Road,Hillingdon,Outer
OUTCY203,Sharps Lane,Hillingdon,Outer
OUTCY130,Eastbury Avenue,Hillingdon,Outer
OUTCY093,Green Lane,Hillingdon,Outer
OUTCY272,North Drive,Hillingdon,Outer
OUTCY193,Printing House Lane,Hillingdon,Outer
OUTCY249,Manor Way,Hillingdon,Outer
OUTCY037,Staines Road,Hounslow,Outer
OUTCY159,Botwell Lane,Hillingdon,Outer
OUTCY046,Western Avenue,Hillingdon,Outer
OUTCY033,Uxbridge Road (Wood End),Hillingdon,Outer
OUTCY427,Grand Union Canal (Hayes & Harlington),Hillingdon,Outer
QWPCY169,Grand Union Canal (Hayes & Harlington),Hillingdon,Outer
OUTCY064,West End Road,Hillingdon,Outer
OUTCY179,Victoria Road,Hillingdon,Outer
OUTCY235,Central Avenue,Hillingdon,Outer
OUTCY347,Yeading Gardens,Hillingdon,Outer
OUTCY287,Bessingby Road,Hillingdon,Outer
OUTCY386,Jim O'Neill Walk,Hillingdon,Outer
OUTCY128,Long Drive,Hillingdon,Outer
OUTCY282,Yeading Fork,Hillingdon,Outer
OUTCY357,Durham Road,Hounslow,Outer
QWPCY170,Grand Union Canal (Bankside),Ealing,Outer
OUTCY035,Great West Road,Hounslow,Outer
OUTCY433,Hanworth Park,Hounslow,Outer
QWPCY171,Grand Union Canal (Spikes Bridge moorings),Ealing,Outer
OUTCY343,Canterbury Road,Hounslow,Outer
OUTCY267,Beaconsfield Road,Ealing,Outer
OUTCY155,Vicarage Farm Road,Hounslow,Outer
OUTCY384,Rectory Park,Ealing,Outer
