Borough,ID,Survey Date,Survey Year,On-Carriageway (if 1) or Off-Carriageway (if 0),Segregated Lane/Track,Stepped Lane/Track,Partially Segregated Lane/Track,Shared Lane or Footway,Mandatory Cycle Lane,Advisory Cycle Lane,Cycle Lane/Track Priority,Contraflow Lane/Track,Bi-directional,Cycle Bypass,Continuous Cycle Facilities at Bus Stop,Park Route,Waterside Route,Part-time (if 1) or Full-time (if 0),Total Tracks or Lanes,Access Times,Colour
Newham, RWG154883,16/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
TowerHamlets, RWG073210,03/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG154882,16/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG150124,28/09/2017,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, RED
Greenwich, RWG184761,08/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Lewisham, RWG198040,13/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149141,19/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154884,16/10/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149528,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276310,07/03/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG198517,19/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Newham, RWG154855,16/10/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149107,17/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149725,17/09/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184884,22/01/2018,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276304,07/03/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276309,07/03/2018,2018,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154856,16/10/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184885,22/01/2018,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154859,16/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG185357,08/11/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149525,29/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149453,27/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198790,20/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276305,07/03/2018,2018,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149724,17/09/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149110,17/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276308,07/03/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149526,29/09/2017,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG221050,16/10/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149524,29/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276306,07/03/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276307,07/03/2018,2018,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149451,27/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149478,28/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, RED
Newham, RWG154858,16/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184883,22/01/2018,2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154860,16/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
TowerHamlets, RWG999843,12/02/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG185559,22/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG154861,16/10/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
TowerHamlets, RWG073347,08/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG154862,16/10/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
TowerHamlets, RWG073587,09/09/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG150074,27/09/2017,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, RED
WalthamForest, RWG149456,27/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
TowerHamlets, RWG073354,08/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149142,19/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, RED
Newham, RWG154865,16/10/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG154863,16/10/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154866,16/10/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187580,23/01/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG154864,16/10/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG154868,16/10/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1, None, NONE
WalthamForest, RWG149514,29/09/2017,2017,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186008,14/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1, None, GREEN
Newham, RWG154874,16/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1, None, NONE
WalthamForest, RWG149108,17/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, RED
TowerHamlets, RWG073215,03/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
Newham, RWG154962,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Newham, RWG155068,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7-10am 4-7pm Sat 10am-7pm, RED
WalthamForest, RWG149449,27/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185557,22/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG155067,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7-10am 4-7pm Sat 10am-7pm, RED
WalthamForest, RWG149159,20/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185034,14/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
Greenwich, RWG186025,14/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1, None, GREEN
Greenwich, RWG184882,22/01/2018,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184763,08/11/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149162,20/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155066,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7-10am 4-7pm Sat 10am-7pm, RED
Greenwich, RWG185960,09/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1, None, BUFF/YELLOW
TowerHamlets, RWG073148,03/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
TowerHamlets, RWG108952,10/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG150072,27/09/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, RED
TowerHamlets, RWG108962,16/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149522,29/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185961,09/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1, None, NONE
Greenwich, RWG198143,19/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1, None, NONE
Greenwich, RWG290314,05/04/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149161,20/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, RED
Greenwich, RWG185558,22/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG155065,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Greenwich, RWG184760,08/11/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG150079,27/09/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG184762,08/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG276343,13/03/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG154963,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat 10am-7pm, RED
Newham, RWG155063,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149996,25/09/2017,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149373,25/09/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198433,14/11/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198055,14/11/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG154964,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG150152,02/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149160,20/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155061,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155060,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198747,18/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Newham, RWG154967,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149466,28/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149408,26/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198142,19/11/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1, None, NONE
Newham, RWG154969,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat10am-7pm, NONE
Lewisham, RWG198038,13/11/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149998,25/09/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198430,13/11/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
